Prob = 0.3	 Time = 0.3
1	0:00:00.361774	0
0	0:00:00.308102	0
0	0:00:00.270312	0
0	0:00:00.271965	0
0	0:00:00.270724	0
1	0:00:00.259847	0
1	0:00:00.213431	0
0	0:00:00.320461	0
0	0:00:00.261993	0
0	0:00:00.277060	0
0	0:00:00.256342	1
0	0:00:00.307513	0
1	0:00:00.318633	0
0	0:00:00.292048	0
1	0:00:00.250156	0
0	0:00:00.251198	0
1	0:00:00.361154	0
1	0:00:00.330521	0
1	0:00:00.276429	0
1	0:00:00.312869	0
0	0:00:00.293215	0
0	0:00:00.262201	0
1	0:00:00.289542	0
1	0:00:00.532177	1
0	0:00:00.368649	0
1	0:00:00.293793	0
1	0:00:00.272882	0
1	0:00:00.269732	0
0	0:00:00.302638	0
0	0:00:00.273347	0
0	0:00:00.290314	0
0	0:00:00.247985	0
0	0:00:00.279436	0
0	0:00:00.334371	0
0	0:00:00.279000	0
0	0:00:00.268171	0
1	0:00:00.335929	0
0	0:00:00.299816	0
1	0:00:00.265913	0
1	0:00:00.356467	0
0	0:00:00.306109	0
0	0:00:00.287928	0
0	0:00:00.278122	0
1	0:00:00.315120	0
1	0:00:00.227410	0
0	0:00:00.362143	0
0	0:00:00.254818	0
0	0:00:00.239842	0
0	0:00:00.245969	0
1	0:00:00.305488	0
0	0:00:00.314255	0
0	0:00:00.301630	0
1	0:00:00.320004	0
0	0:00:00.218336	0
0	0:00:00.282701	0
0	0:00:00.245796	0
1	0:00:00.311298	0
0	0:00:00.298465	0
1	0:00:00.327189	0
0	0:00:00.211443	0
0	0:00:00.291990	0
0	0:00:00.261194	0
0	0:00:00.251142	0
0	0:00:00.279519	0
0	0:00:00.263487	0
0	0:00:00.297717	0
0	0:00:00.284285	0
1	0:00:00.338792	0
1	0:00:00.245227	0
0	0:00:00.283469	0
1	0:00:00.194866	0
0	0:00:00.577875	1
1	0:00:00.312629	0
1	0:00:00.291382	0
0	0:00:00.329500	0
0	0:00:00.247437	0
0	0:00:00.275662	0
1	0:00:00.322535	0
0	0:00:00.302002	0
1	0:00:00.307043	0
0	0:00:00.210242	0
1	0:00:00.170595	0
0	0:00:00.192534	0
1	0:00:00.189790	0
1	0:00:00.259000	0
1	0:00:00.254828	0
0	0:00:00.407856	1
0	0:00:00.245137	0
1	0:00:00.309942	0
0	0:00:00.347042	0
0	0:00:00.229916	0
0	0:00:00.245081	0
0	0:00:00.263246	0
0	0:00:00.262833	0
1	0:00:00.348744	0
0	0:00:00.290406	0
1	0:00:00.348061	0
0	0:00:00.254814	0
1	0:00:00.343995	0
0	0:00:00.265373	0
